Number of questions to generate :
X + 10 = 73 , X = ?

3X + 1 = 77 , X = ?

X + 5 = 3 , X = ?

56 = 2 - X , X = ?

42 = X - 5 , X = ?

97 = 4X + 6 , X = ?

4 + X = 77 , X = ?

6 - X = 94 , X = ?

5X + 8 = 6 , X = ?

7X + 4 = 6 , X = ?

88 = 5 + X , X = ?

39 = X + 1 , X = ?

49 = X + 7 , X = ?

X + 3 = 93 , X = ?

38 = X - 8 , X = ?

6 + X = 60 , X = ?

11 + X = 29 , X = ?

1 = X - 11 , X = ?

99 = X - 5 , X = ?

8X + 5 = 45 , X = ?

X + 10 = 37 , X = ?

67 = 9X - 10 , X = ?

X - 5 = 51 , X = ?

17 = 6 + X , X = ?

100 = X + 1 , X = ?

6 - X = 55 , X = ?

4X + 3 = 95 , X = ?

32 = 7 - X , X = ?

16 = 7X - 6 , X = ?

44 = X - 3 , X = ?

3 + X = 87 , X = ?

36 = 3 - X , X = ?

79 = 11 + X , X = ?

5X - 6 = 72 , X = ?

7 - X = 6 , X = ?

1 - X = 5 , X = ?

3 = 4 - X , X = ?

52 = 1X - 7 , X = ?

9 + X = 61 , X = ?

X - 7 = 1 , X = ?

36 = 7 + X , X = ?

70 = 4X + 9 , X = ?

16 = X + 3 , X = ?

6X - 11 = 95 , X = ?

100 = 2 - X , X = ?

18 = 2X - 5 , X = ?

8X + 4 = 91 , X = ?

5X + 9 = 93 , X = ?

63 = X + 1 , X = ?

32 = X - 5 , X = ?

8X - 10 = 58 , X = ?

18 = 8X + 7 , X = ?

2X + 5 = 33 , X = ?

44 = 6 + X , X = ?

8 + X = 79 , X = ?

98 = 9 - X , X = ?

X + 8 = 57 , X = ?

4 + X = 40 , X = ?

95 = 2X - 3 , X = ?

7X + 1 = 93 , X = ?

25 = 5 - X , X = ?

10 + X = 38 , X = ?

88 = X + 6 , X = ?

X + 4 = 18 , X = ?

X - 11 = 59 , X = ?

45 = 11 + X , X = ?

13 = X - 3 , X = ?

10 - X = 36 , X = ?

18 = 6X + 5 , X = ?

96 = 7 - X , X = ?

83 = 4X - 11 , X = ?

1 = 5 - X , X = ?

7 + X = 71 , X = ?

X - 3 = 85 , X = ?

86 = 9X - 7 , X = ?

71 = 4 + X , X = ?

41 = X - 5 , X = ?

5 - X = 85 , X = ?

4 = X + 11 , X = ?

44 = 1X + 2 , X = ?

13 = X - 1 , X = ?

71 = 3 + X , X = ?

54 = X - 5 , X = ?

X + 4 = 57 , X = ?

58 = 6X + 3 , X = ?

1X - 1 = 90 , X = ?

4X - 11 = 41 , X = ?

52 = X + 10 , X = ?

27 = X - 5 , X = ?

94 = X - 7 , X = ?

6X + 9 = 28 , X = ?

94 = X - 5 , X = ?

50 = 5 + X , X = ?

70 = 11 - X , X = ?

29 = 6X + 2 , X = ?

3X - 2 = 47 , X = ?

30 = X - 6 , X = ?

X - 7 = 88 , X = ?

88 = X - 11 , X = ?

4X + 10 = 45 , X = ?

